schema_version,session_id,starting_daily_pnl_usd,starting_utc_day,utc_day,config_fingerprint,code_fingerprint,selected_sports,ts,ticker,sport,league,series_ticker,milestone_id,event_ticker,scheduled_start_ts,event,detail,close_ts,can_close_early,mid,bid,ask,bid_qty,ask_qty
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303627.565422,KXITFMATCH-26JUL28PADSAT-PAD,Tennis,,KXITFMATCH,03e1243d-7dee-4056-a032-cb914b77515a,KXITFMATCH-26JUL28PADSAT,1785294636.0,quote,,1786501800.0,true,38.5000,38.0000,39.0000,22883.35,62785.64
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303627.688242,KXITFMATCH-26JUL28WENJON-JON,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,72.5000,72.0000,73.0000,10993.34,19329.85
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303627.761312,KXITFMATCH-26JUL28WENJON-WEN,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,27.5000,27.0000,28.0000,7785.11,19078.17
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303627.832319,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,61.5000,61.0000,62.0000,5079.99,3961.37
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303627.903125,KXITFWMATCH-26JUL29SOZMIL-MIL,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,92.5000,92.0000,93.0000,3118.54,3666.72
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303627.9759722,KXITFWMATCH-26JUL29YOSKIM-KIM,Tennis,,KXITFWMATCH,9b9eecb5-c6a0-414a-bcf3-57262192676d,KXITFWMATCH-26JUL29YOSKIM,1785301851.0,quote,,1786510800.0,true,66.5000,66.0000,67.0000,2939.84,4896.33
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303628.047864,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,38.5000,38.0000,39.0000,2829.86,5994.06
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303628.212516,KXITFWMATCH-26JUL29SOZMIL-SOZ,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,7.5000,7.0000,8.0000,2285.31,5754.98
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303628.283519,KXITFMATCH-26JUL29BRAPIE-PIE,Tennis,,KXITFMATCH,e7bed978-f0a4-4bc6-8904-d9b6730590e4,KXITFMATCH-26JUL29BRAPIE,1785305498.0,quote,,1786514400.0,true,85.5000,85.0000,86.0000,3461.00,1059.07
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785303628.359395,KXITFWMATCH-26JUL29HOSDYU-DYU,Tennis,,KXITFWMATCH,eff22484-a537-4944-bd0e-5664e98b54bd,KXITFWMATCH-26JUL29HOSDYU,1785301687.0,quote,,1786510800.0,true,83.5000,83.0000,84.0000,458.66,520.02
