schema_version,session_id,starting_daily_pnl_usd,starting_utc_day,utc_day,config_fingerprint,code_fingerprint,selected_sports,ts,ticker,sport,league,series_ticker,milestone_id,event_ticker,scheduled_start_ts,side,price,contracts,fee_usd,reason
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307447.610371,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,BUY,63.0000,20,0.3300,"dip 7.0c; entry ask 62.0000c, projected net $+0.1600"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307454.206073,KXITFWMATCH-26JUL29YOSKIM-YOS,Tennis,,KXITFWMATCH,9b9eecb5-c6a0-414a-bcf3-57262192676d,KXITFWMATCH-26JUL29YOSKIM,1785301851.0,BUY,62.0000,20,0.3300,"dip 7.0c; entry ask 61.0000c, projected net $+0.1500"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307470.741695,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,51.0000,1.00,0.020000,"stop-loss, bid -11c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307473.0817769,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,51.0000,1.00,0.020000,"stop-loss, bid -11c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307475.320939,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,51.0000,1.00,0.020000,"stop-loss, bid -11c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307477.553439,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,51.0000,1.00,0.020000,"stop-loss, bid -11c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307479.8998778,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,43.0000,16.00,0.280000,"stop-loss, bid -11c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307482.196167,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,BUY,47.0000,20,0.3500,"dip 19.5c; entry ask 46.0000c, projected net $+0.1000"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307495.561954,KXITFWMATCH-26JUL29YOSKIM-YOS,Tennis,,KXITFWMATCH,9b9eecb5-c6a0-414a-bcf3-57262192676d,KXITFWMATCH-26JUL29YOSKIM,1785301851.0,SELL,55.0000,20,0.3500,"stop-loss, bid -6c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307532.46402,KXITFWMATCH-26JUL29DESJAN-DES,Tennis,,KXITFWMATCH,81f61a76-c334-455a-ab59-aaab2f2b9045,KXITFWMATCH-26JUL29DESJAN,1785301882.0,BUY,48.0000,20,0.3500,"dip 13.0c; entry ask 47.0000c, projected net $+0.1000"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307534.778432,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,35.0000,20,0.3200,"stop-loss, bid -11c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307546.487539,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,BUY,35.0000,20,0.3200,"dip 16.0c; entry ask 34.0000c, projected net $+0.1400"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307567.455998,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,39.0000,20,0.3400,"take-profit, bid +5c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307569.764897,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,BUY,42.0000,20,0.3500,"dip 8.0c; entry ask 41.0000c, projected net $+0.1000"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307576.5109918,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,BUY,63.0000,20,0.3300,"dip 7.5c; entry ask 62.0000c, projected net $+0.1600"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307590.584107,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,52.0000,20,0.3500,"take-profit, bid +11c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307597.3422668,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,44.0000,20,0.3500,"stop-loss, bid -18c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307599.6600409,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,BUY,47.0000,20,0.3500,"dip 22.5c; entry ask 46.0000c, projected net $+0.1000"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307599.730102,KXITFWMATCH-26JUL29DESJAN-DES,Tennis,,KXITFWMATCH,81f61a76-c334-455a-ab59-aaab2f2b9045,KXITFWMATCH-26JUL29DESJAN,1785301882.0,SELL,41.0000,13.00,0.230000,"stop-loss, bid -6c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307602.12204,KXITFWMATCH-26JUL29DESJAN-DES,Tennis,,KXITFWMATCH,81f61a76-c334-455a-ab59-aaab2f2b9045,KXITFWMATCH-26JUL29DESJAN,1785301882.0,SELL,41.0000,7.00,0.120000,"stop-loss, bid -6c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307622.569557,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,SELL,34.0000,20,0.3200,"stop-loss, bid -12c vs entry"
6,53f42bc58d42435d82248ac83e5d779a,-2.0300,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,3225d938792095e42822872d66b7b9e7b79546a344da7ea98298d40463577392,"[""Tennis""]",1785307624.80623,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,BUY,38.0000,20,0.3300,"dip 24.5c; entry ask 37.0000c, projected net $+0.1200"
